Género,Embarque en Línea,Servicio a Bordo,Servicio de Espacio para las Piernas,Manejo de Equipaje,Servicio de Registro,Servicio en Vuelo,cleanliness,Retraso en la Salida en Minutos,Retraso en la Llegada en Minutos
,3,5,2,4,3,4,3,22,27.0
,2,5,4,5,4,4,3,40,52.0
,5,5,5,1,5,4,4,0,0.0
,2,4,2,4,3,5,5,0,0.0
,3,4,1,3,3,3,3,0,0.0
,5,3,4,4,3,1,5,0,0.0
,3,1,1,4,2,1,4,3,0.0
,1,4,3,4,2,1,1,0,0.0
,4,2,5,2,1,4,5,0,23.0
,2,3,2,5,1,3,1,0,0.0
,2,5,4,5,3,5,4,0,0.0
,5,4,5,4,4,4,3,0,3.0
,3,4,4,4,4,4,1,30,13.0
,1,1,1,2,4,3,1,0,0.0
,2,5,2,3,2,4,5,91,82.0
,5,4,4,4,5,4,4,0,0.0
,2,3,3,4,4,4,1,1,10.0
,2,1,1,2,2,2,3,0,0.0
,5,2,2,2,5,2,5,0,0.0
,4,5,4,4,4,4,3,21,23.0
,3,4,4,4,4,4,4,4,0.0
,3,3,5,2,3,3,1,0,9.0
,4,1,3,2,3,2,4,3,0.0
,1,4,2,4,5,5,3,0,0.0
,5,4,4,4,3,4,5,4,9.0
,1,3,5,4,1,4,1,7,30.0
,4,4,4,4,5,4,3,0,0.0
,5,4,4,4,3,4,5,17,8.0
,3,2,1,2,2,2,4,14,16.0
,3,4,5,4,5,5,3,0,0.0
,4,2,2,4,2,1,4,0,0.0
,4,4,5,4,4,5,2,4,11.0
,4,3,2,5,4,5,3,15,3.0
,2,3,3,3,1,3,3,0,0.0
,3,2,2,2,3,4,3,0,0.0
,3,1,2,1,2,1,5,0,0.0
,5,5,2,5,3,5,5,0,0.0
,4,5,5,5,3,5,5,0,0.0
,3,4,2,2,2,2,3,0,0.0
,3,1,1,1,1,1,1,0,0.0
,4,4,1,1,3,5,4,0,0.0
,1,3,3,4,1,3,1,29,10.0
,4,3,4,4,5,4,1,0,0.0
,3,3,3,3,3,3,4,0,0.0
,3,1,5,1,3,1,3,0,0.0
,3,2,1,3,1,3,5,39,6.0
,3,2,4,3,4,4,5,7,6.0
,5,5,5,5,5,5,3,1,7.0
,4,3,4,3,3,3,4,0,7.0
,5,4,1,1,4,4,3,0,0.0
,4,3,5,3,3,3,4,0,0.0
,4,2,2,2,5,2,3,0,10.0
,3,1,1,1,1,1,4,13,15.0
,1,4,4,4,4,4,5,0,0.0
,2,2,4,2,1,1,2,0,0.0
,4,5,5,5,4,5,3,0,0.0
,4,3,4,4,4,4,1,17,27.0
,1,5,2,5,4,4,4,105,122.0
,4,4,4,4,2,4,5,0,0.0
,5,3,4,3,5,3,1,0,0.0
,3,3,2,3,3,3,2,0,3.0
,4,3,5,4,4,3,4,0,0.0
,5,3,4,3,4,3,3,27,11.0
,0,4,3,5,3,5,2,0,0.0
,5,4,2,4,4,4,3,19,0.0
,4,5,5,5,3,5,4,0,0.0
,5,1,4,5,1,3,5,12,27.0
,2,4,3,3,2,4,5,51,30.0
,2,1,4,2,2,2,3,0,2.0
,5,1,1,4,5,4,5,162,179.0
,5,5,1,2,5,3,5,15,15.0
,4,4,4,4,4,4,3,7,0.0
,4,4,4,4,4,4,5,0,0.0
,4,4,4,4,3,4,3,0,1.0
,4,4,4,4,5,4,5,24,20.0
,3,3,2,4,5,4,3,0,0.0
,3,2,4,3,2,3,3,0,0.0
,4,4,4,4,5,4,4,0,0.0
,4,4,5,4,4,3,3,0,7.0
,4,4,5,4,4,3,4,141,125.0
,4,4,3,4,2,4,4,0,0.0
,1,5,5,5,3,5,4,0,0.0
,3,1,1,1,4,1,3,1,26.0
,3,4,3,1,3,4,4,0,0.0
,5,4,4,4,5,4,2,0,0.0
,4,4,2,4,5,5,1,0,9.0
,3,5,1,5,1,5,2,0,0.0
,4,4,4,4,3,4,4,6,0.0
,3,2,5,4,4,4,3,15,26.0
,2,1,3,5,3,2,1,0,0.0
,3,5,3,4,5,4,1,3,0.0
,1,3,5,5,3,4,2,34,19.0
,2,3,4,2,2,1,2,0,0.0
,1,2,5,3,4,4,1,0,0.0
,3,3,3,3,4,3,2,6,4.0
,5,4,2,4,3,5,2,0,0.0
,0,5,5,4,4,4,2,0,0.0
,5,4,4,4,3,4,5,0,0.0
,5,3,2,3,3,3,3,0,17.0
,3,2,2,3,4,2,2,0,0.0
,2,4,5,2,5,5,1,0,18.0
,5,5,5,5,3,5,4,17,0.0
,4,5,5,5,5,5,3,0,0.0
,2,3,2,3,2,3,2,20,17.0
,5,1,3,1,3,3,5,0,3.0
,2,5,2,4,3,5,2,2,0.0
,1,3,5,4,3,4,2,0,8.0
,2,4,5,5,4,5,4,0,0.0
,1,5,5,5,2,5,3,1,0.0
,4,1,2,1,4,1,3,23,2.0
,3,3,3,4,4,3,3,7,2.0
,4,4,4,4,4,4,4,0,0.0
,3,1,4,2,3,1,1,0,0.0
,3,2,3,2,4,2,4,0,0.0
,5,5,2,4,1,1,5,31,0.0
,1,1,1,4,2,3,3,97,89.0
,1,4,4,4,4,4,1,0,0.0
,1,4,3,5,4,5,2,16,34.0
,1,3,3,3,4,3,1,0,0.0
,5,5,5,2,4,3,4,0,0.0
,2,4,3,4,3,1,4,20,4.0
,2,4,4,4,3,5,3,0,0.0
,2,3,4,3,3,1,5,4,0.0
,4,4,4,4,3,4,4,0,0.0
,2,4,4,5,4,4,1,0,0.0
,3,5,3,3,2,3,2,0,0.0
,5,4,4,4,5,4,3,10,0.0
,3,5,2,5,3,5,2,0,0.0
,4,2,2,3,1,2,2,0,0.0
,2,3,5,5,4,4,3,11,6.0
,1,1,5,1,3,2,3,0,0.0
,5,5,5,5,4,5,4,0,0.0
,5,2,3,1,1,2,5,9,5.0
,4,4,4,4,1,4,2,0,0.0
,3,2,2,2,4,2,3,0,9.0
,3,5,4,4,5,5,4,29,28.0
,2,4,4,4,2,4,1,0,0.0
,4,3,3,3,4,3,3,99,101.0
,3,4,2,4,5,5,1,9,11.0
,4,3,5,3,1,3,1,0,0.0
,5,3,5,5,3,2,4,18,4.0
,3,2,2,3,3,3,3,0,0.0
,5,2,5,4,3,3,5,9,0.0
,4,4,2,4,3,3,4,0,3.0
,3,2,2,3,1,5,1,24,14.0
,5,4,1,4,5,4,3,37,20.0
,5,5,5,5,4,5,5,0,0.0
,4,4,4,4,3,4,3,66,61.0
,3,3,4,3,4,4,3,53,48.0
,4,2,4,2,3,4,4,19,6.0
,2,2,5,5,1,4,5,4,3.0
,2,3,2,4,4,3,1,0,0.0
,3,3,5,4,2,4,4,0,0.0
,4,2,3,3,1,3,4,0,0.0
,1,5,5,5,5,5,5,0,11.0
,4,4,4,4,4,4,3,0,0.0
,3,2,2,2,4,2,1,0,0.0
,2,1,4,4,1,4,4,7,0.0
,3,5,2,4,4,4,1,0,0.0
,3,3,2,3,4,3,3,28,18.0
,4,4,4,3,5,5,4,0,0.0
,5,3,4,4,5,4,5,36,28.0
,5,5,4,5,4,5,5,0,0.0
,3,4,5,5,5,5,4,12,0.0
,5,4,4,4,3,4,3,13,32.0
,5,5,5,5,4,5,4,1,0.0
,4,1,2,3,1,3,4,23,6.0
,4,2,2,2,1,2,4,0,0.0
,2,5,5,3,3,5,3,6,6.0
,5,4,2,5,4,4,4,0,13.0
,5,5,4,5,3,5,1,0,16.0
,5,3,3,3,5,3,3,0,0.0
,3,2,2,2,5,2,3,0,0.0
,2,3,3,3,2,3,2,15,15.0
,3,5,5,4,3,5,5,0,0.0
,4,4,5,3,4,3,5,45,33.0
,5,3,3,3,5,3,5,39,41.0
,4,5,5,4,5,5,5,7,0.0
,3,5,5,5,3,5,1,0,0.0
,4,3,5,5,4,5,4,209,191.0
,4,5,5,5,4,5,4,0,2.0
,4,4,4,4,3,4,2,60,37.0
,3,1,3,2,3,3,3,0,1.0
,3,5,4,1,3,4,3,149,138.0
,2,5,3,5,3,4,4,26,13.0
,3,1,1,1,4,1,2,12,4.0
,2,2,4,3,3,3,2,0,53.0
,2,4,2,1,5,5,3,24,14.0
,5,4,4,5,3,4,4,11,0.0
,4,1,1,1,4,1,4,18,7.0
,4,3,4,3,3,4,4,15,22.0
,2,1,2,4,4,3,2,5,0.0
,4,4,4,3,4,1,4,59,57.0
,4,3,4,4,4,4,4,0,7.0
,4,4,5,3,1,4,1,35,28.0
,4,4,4,4,5,4,5,1,0.0
,5,5,5,5,5,5,3,62,65.0
,4,4,4,4,3,4,3,23,4.0
,2,3,4,4,4,4,2,21,44.0
,4,3,4,5,5,4,4,0,0.0
,4,2,1,2,2,3,4,3,0.0
,3,4,3,4,3,4,5,10,0.0
,5,4,4,4,4,4,3,8,0.0
,3,4,2,3,1,4,5,0,0.0
,5,4,4,4,5,4,5,0,0.0
,5,1,3,1,2,1,5,91,76.0
,2,1,5,3,1,3,2,113,107.0
,3,2,4,3,3,4,2,27,12.0
,4,3,5,4,1,2,4,0,0.0
,4,3,4,5,3,4,4,28,11.0
,2,5,3,5,3,4,2,38,28.0
,1,2,4,5,5,2,4,0,0.0
,5,4,4,4,4,4,3,83,92.0
,5,4,4,4,5,3,5,15,32.0
,4,5,5,5,4,5,3,0,0.0
,2,5,5,4,5,4,2,0,0.0
,4,4,3,4,3,5,5,0,0.0
,3,4,5,4,3,3,1,0,0.0
,4,4,4,4,4,5,4,0,0.0
,0,3,1,3,3,4,1,0,0.0
,5,5,4,5,3,4,2,0,0.0
,4,3,3,3,1,3,3,0,8.0
,5,5,5,5,4,5,3,4,2.0
,2,4,5,3,2,3,5,0,0.0
,2,4,1,3,1,4,1,16,12.0
,5,3,2,4,5,5,5,0,0.0
,2,1,5,4,4,4,2,15,7.0
,2,3,3,5,5,4,5,8,16.0
,4,4,4,4,4,4,5,18,0.0
,3,3,5,4,5,3,5,0,0.0
,2,4,5,3,4,3,2,0,0.0
,2,4,3,4,3,5,4,0,0.0
,5,5,5,5,2,5,3,0,0.0
,3,3,2,3,4,5,1,0,0.0
,5,5,2,4,4,4,1,0,0.0
,4,3,2,2,3,5,3,0,11.0
,1,2,3,4,3,3,1,0,13.0
,4,4,1,4,3,3,5,0,1.0
,4,2,2,2,1,2,4,0,0.0
,2,2,2,2,5,2,1,12,8.0
,4,5,3,4,4,4,3,0,0.0
,4,5,3,3,4,2,4,176,164.0
,1,1,3,3,4,2,5,38,28.0
,3,1,5,3,2,4,1,0,0.0
,2,5,4,5,3,4,5,0,0.0
,4,3,2,2,4,3,5,0,0.0
,1,4,2,4,2,1,5,0,0.0
,4,2,2,2,1,2,4,0,0.0
,5,5,5,5,5,5,3,0,5.0
,5,5,5,5,4,5,4,19,5.0
,3,3,3,3,3,3,5,46,24.0
,3,4,1,4,1,4,4,0,0.0
,3,5,4,5,3,5,3,13,0.0
,1,4,1,4,2,3,4,39,34.0
,5,5,5,5,3,5,4,0,6.0
,4,2,2,2,5,2,4,0,3.0
,5,3,2,4,5,2,5,20,9.0
,2,2,2,3,2,4,2,0,0.0
,3,1,2,1,2,1,1,0,32.0
,4,5,4,5,5,5,4,22,22.0
,0,2,2,2,2,2,5,0,8.0
,3,1,4,4,1,3,3,0,0.0
,0,5,1,2,4,3,5,9,5.0
,4,5,3,4,4,4,4,7,2.0
,5,3,3,3,5,3,5,0,0.0
,4,4,3,3,1,4,4,0,5.0
,4,4,4,4,3,4,4,0,0.0
,0,4,4,5,5,5,5,0,0.0
,5,5,5,5,5,5,4,0,0.0
,5,5,5,5,5,5,4,0,0.0
,4,4,4,4,4,4,3,0,6.0
,5,3,4,3,3,3,5,0,0.0
,4,5,5,4,5,5,5,0,0.0
,2,2,5,3,1,4,4,0,5.0
,4,4,4,4,3,4,3,1,0.0
,4,4,4,4,5,4,4,22,21.0
,5,5,1,5,3,5,5,0,0.0
,4,2,5,5,5,3,4,0,0.0
,2,1,2,2,4,2,2,5,7.0
,0,3,3,4,4,4,5,0,0.0
,4,5,5,5,5,5,4,0,0.0
,3,2,2,2,4,2,2,73,62.0
,1,4,4,4,4,3,1,0,0.0
,2,4,3,4,4,4,5,53,52.0
,4,4,4,4,5,4,3,0,0.0
,2,1,4,4,1,4,1,20,15.0
,4,3,2,5,4,5,4,0,0.0
,1,4,4,4,4,4,3,0,0.0
,5,4,4,4,5,4,3,0,4.0
,5,4,4,4,5,4,4,0,0.0
,4,4,4,4,3,4,5,54,40.0
,4,5,2,5,3,4,4,0,0.0
,2,3,1,4,1,2,4,0,0.0
,1,3,2,2,5,1,5,22,49.0
,2,2,4,4,3,3,2,0,3.0
,1,5,3,3,5,5,4,0,7.0
,3,3,3,2,2,3,2,0,0.0
,2,3,5,5,4,5,2,0,0.0
,2,3,1,3,3,3,3,1,4.0
,5,4,2,5,1,5,5,0,0.0
,2,5,4,4,3,1,1,1,0.0
,5,5,5,5,5,5,3,0,0.0
,3,3,5,4,3,5,4,3,0.0
,5,5,2,1,3,2,5,18,55.0
,5,4,4,4,2,4,5,0,1.0
,2,2,3,3,2,1,2,199,185.0
,2,4,2,4,4,5,1,56,63.0
,5,2,2,2,5,2,4,0,0.0
,3,2,2,2,1,2,4,3,0.0
,3,5,5,5,4,5,3,93,77.0
,3,4,5,5,5,5,4,0,0.0
,3,3,2,4,4,5,1,70,89.0
,4,5,5,5,5,5,5,0,23.0
,1,4,4,4,5,4,5,0,0.0
,1,5,5,5,3,5,3,3,0.0
,2,3,5,5,5,4,3,0,0.0
,4,4,4,4,4,4,4,80,86.0
,2,1,1,1,1,1,4,12,5.0
,3,4,4,5,3,5,5,0,2.0
,3,4,4,4,1,4,3,0,5.0
,1,5,2,5,3,5,1,0,0.0
,0,4,2,4,5,4,3,96,91.0
,4,4,3,4,5,4,3,0,0.0
,3,5,5,5,4,5,5,0,0.0
,4,3,3,3,3,3,1,0,0.0
,2,4,3,4,1,4,5,57,52.0
,2,2,4,3,4,3,3,0,0.0
,3,2,4,3,3,2,2,0,0.0
,4,4,5,2,1,3,4,0,0.0
,5,5,5,5,3,5,5,0,0.0
,3,2,2,4,1,2,2,95,100.0
,4,4,4,4,1,4,1,0,0.0
,5,4,4,2,3,3,5,0,0.0
,3,4,4,2,4,3,5,11,6.0
,2,5,3,3,3,1,2,0,0.0
,2,5,4,1,1,2,1,27,54.0
,5,2,2,2,3,2,4,7,0.0
,4,3,1,3,2,3,4,3,24.0
,4,2,2,2,5,2,3,29,17.0
,1,5,1,3,2,1,5,0,0.0
,3,3,2,4,4,4,3,44,40.0
,5,5,5,5,3,5,5,35,36.0
,5,4,4,4,3,4,4,15,1.0
,3,4,2,4,4,4,5,6,24.0
,3,3,3,3,3,3,4,60,70.0
,3,1,2,4,3,3,3,141,139.0
,3,4,3,3,2,3,3,44,33.0
,2,2,2,1,4,2,2,44,92.0
,1,4,4,4,2,4,4,0,0.0
,5,4,5,4,4,4,4,0,0.0
,4,3,2,4,4,5,5,16,14.0
,5,5,5,5,5,5,5,0,0.0
,4,3,3,4,3,5,4,74,67.0
,5,5,5,5,3,5,3,1,0.0
,2,4,3,5,3,4,2,0,7.0
,5,5,5,5,5,5,3,0,0.0
,4,3,2,5,4,4,4,0,0.0
,4,2,4,2,3,2,3,0,0.0
,3,3,4,5,3,5,5,0,4.0
,5,4,4,4,5,4,5,172,163.0
,3,4,3,4,1,4,3,0,8.0
,5,5,5,5,4,5,5,0,0.0
,2,4,2,3,5,4,1,0,0.0
,2,1,1,3,1,3,2,16,6.0
,4,3,5,5,3,5,4,0,0.0
,3,4,2,5,4,5,3,0,0.0
,5,4,4,4,5,4,3,0,0.0
,4,0,1,2,2,0,3,0,0.0
,5,4,4,4,4,4,3,0,0.0
,4,5,0,5,3,5,3,0,0.0
,2,3,5,3,4,3,2,0,0.0
,4,3,4,4,2,4,1,0,0.0
,3,5,5,5,1,5,3,0,0.0
,2,2,2,2,3,2,4,63,52.0
,5,4,4,4,3,4,3,0,0.0
,2,2,2,2,2,2,2,19,21.0
,1,5,5,3,4,5,5,91,128.0
,4,3,3,3,3,3,3,6,0.0
,5,3,2,5,4,5,4,4,0.0
,4,3,3,3,4,3,5,0,21.0
,2,4,5,3,4,4,3,0,3.0
,1,4,2,5,4,3,2,0,0.0
,4,4,4,4,4,4,4,9,4.0
,4,2,5,2,4,5,4,175,180.0
,5,4,5,4,4,4,3,16,3.0
,3,2,5,2,3,2,2,24,1.0
,5,2,3,2,4,2,3,27,37.0
,4,2,2,2,4,2,3,7,23.0
,5,5,5,5,3,5,3,23,13.0
,3,4,4,4,5,5,1,11,5.0
,1,3,4,4,4,5,2,0,0.0
,3,4,2,4,5,4,5,0,0.0
,2,1,1,3,3,4,2,16,0.0
,5,5,5,5,5,5,1,3,0.0
,2,4,4,4,3,4,1,0,0.0
,4,4,4,4,4,4,3,0,0.0
,2,3,5,4,2,4,2,105,93.0
,3,5,1,2,5,1,1,0,0.0
,2,3,2,4,4,3,2,0,0.0
,3,5,3,3,4,5,3,0,0.0
,4,2,2,2,1,2,3,0,0.0
,5,2,3,4,4,5,5,0,8.0
,4,4,4,4,4,4,5,2,0.0
,4,5,2,3,4,2,4,143,121.0
,5,4,4,2,5,4,5,48,30.0
,4,5,4,5,4,4,2,0,6.0
,1,3,5,5,3,4,4,0,4.0
,4,1,2,4,4,4,4,0,33.0
,3,3,5,4,3,4,2,37,52.0
,3,5,1,5,5,5,5,0,9.0
,3,4,2,3,1,3,1,0,0.0
,1,4,4,4,5,4,3,27,17.0
,4,5,1,1,4,2,4,0,7.0
,5,4,3,4,5,4,3,0,0.0
,1,5,3,5,3,5,3,0,0.0
,1,4,5,4,1,3,1,1,2.0
,5,4,5,5,3,4,2,3,0.0
,2,1,1,1,2,1,4,0,0.0
,4,4,4,5,4,4,5,4,2.0
,1,4,2,3,1,2,3,0,3.0
,4,1,1,1,1,1,2,19,6.0
,3,2,3,4,3,3,4,31,22.0
,2,3,2,4,2,3,2,0,0.0
,1,4,4,4,3,4,5,5,0.0
,4,4,4,3,4,3,4,12,17.0
,5,4,4,4,3,4,3,0,0.0
,4,4,4,4,4,4,3,1,0.0
,1,1,1,3,1,3,3,16,9.0
,2,4,4,4,5,4,1,1,0.0
,4,4,3,2,4,4,5,0,0.0
,2,3,1,3,1,3,2,8,26.0
,5,3,3,3,5,3,3,0,0.0
,3,3,5,3,2,3,2,10,0.0
,3,2,5,4,3,4,3,0,0.0
,5,1,4,1,5,1,5,2,0.0
,5,4,5,4,3,4,3,0,0.0
,5,5,5,5,4,5,4,2,0.0
,4,4,3,4,3,4,3,47,45.0
,4,2,1,5,3,5,5,45,51.0
,2,4,1,4,3,3,3,105,105.0
,5,3,2,1,4,3,5,101,126.0
,4,3,4,5,4,5,4,1,0.0
,5,4,4,4,4,4,5,0,0.0
,5,5,4,5,5,5,4,9,56.0
,5,4,1,1,4,5,5,0,0.0
,5,5,3,4,4,5,3,0,0.0
,3,4,2,3,1,4,4,27,31.0
,4,4,3,2,4,4,4,118,100.0
,4,5,5,5,3,5,5,0,0.0
,1,3,3,3,3,3,1,0,0.0
,2,5,3,5,3,5,3,0,0.0
,5,2,2,2,3,2,5,18,18.0
,3,5,3,3,2,3,3,0,5.0
,3,1,1,1,4,5,5,5,0.0
,4,4,3,4,3,5,1,15,8.0
,5,4,0,4,4,4,3,0,0.0
,3,4,3,4,4,4,3,27,45.0
,3,2,2,2,3,2,5,26,27.0
,3,2,2,2,4,2,4,0,4.0
,4,5,2,1,4,5,4,45,40.0
,3,4,4,3,3,1,1,28,19.0
,5,4,4,4,3,4,3,0,0.0
,2,3,2,5,5,4,5,76,73.0
,2,4,3,5,4,4,5,0,10.0
,3,5,5,5,3,5,3,0,0.0
,5,5,5,5,4,5,5,0,0.0
,2,5,5,5,3,5,3,0,0.0
,5,4,4,4,5,4,4,0,0.0
,5,4,5,4,5,4,3,0,0.0
,5,4,4,4,5,4,4,0,0.0
,5,5,5,4,4,5,5,0,1.0
,2,3,3,3,3,4,3,0,0.0
,3,4,3,1,5,4,3,4,11.0
,2,3,2,4,5,4,2,3,4.0
,4,3,1,3,2,4,1,18,24.0
,2,4,4,4,3,4,1,4,0.0
,4,5,5,5,5,5,3,0,0.0
,5,5,2,5,5,5,5,0,6.0
,4,5,5,5,4,5,3,0,0.0
,3,3,1,4,3,2,1,13,5.0
,4,4,2,3,3,4,5,22,11.0
,2,5,5,5,3,5,5,0,0.0
,2,5,5,5,1,5,2,0,0.0
,4,5,5,5,4,3,4,220,212.0
,4,4,5,4,5,4,3,0,0.0
,1,1,1,1,1,1,2,18,14.0
,3,3,1,5,1,5,5,0,3.0
,2,4,5,5,4,4,5,0,0.0
,1,1,4,3,4,2,4,141,126.0
,0,5,2,3,3,4,3,1,0.0
,4,5,5,5,5,5,4,0,0.0
,5,5,5,5,4,5,5,9,0.0
,1,2,3,3,3,3,2,0,0.0
,1,5,3,5,4,4,2,0,8.0
,5,5,5,5,4,5,3,33,27.0
,5,2,1,2,5,5,5,0,0.0
,4,3,4,3,5,3,2,0,0.0
,3,4,1,3,5,3,3,18,18.0
,2,3,4,1,4,3,5,0,0.0
,4,5,2,4,4,2,4,0,3.0
,3,3,4,4,3,5,3,55,88.0
,4,2,1,1,4,4,4,0,4.0
,3,3,3,4,3,4,2,11,4.0
,4,2,1,4,4,4,2,0,0.0
,1,3,3,4,4,2,4,232,241.0
,4,5,3,5,4,4,4,0,30.0
,0,5,3,5,3,4,5,0,0.0
,2,2,2,3,2,3,3,0,0.0
,4,5,3,4,5,5,4,46,51.0
,4,4,2,5,5,4,3,0,0.0
,5,3,4,4,3,5,5,0,0.0
,5,5,4,5,5,3,5,170,172.0
,4,3,3,3,3,3,1,0,0.0
,4,4,5,4,4,4,4,15,15.0
,0,4,4,5,5,5,5,0,0.0
,3,1,3,4,1,5,3,17,4.0
,5,4,5,5,5,5,5,0,0.0
,5,5,5,5,4,5,4,0,0.0
,3,1,1,4,3,4,2,0,6.0
,2,2,2,3,4,4,1,25,12.0
,5,2,5,4,5,5,5,173,175.0
,4,4,4,4,4,4,1,38,23.0
,3,3,5,3,2,4,1,0,0.0
,3,5,2,4,3,4,2,0,0.0
,5,4,4,4,5,4,3,0,0.0
,4,2,4,3,1,4,1,52,44.0
,4,3,4,5,3,5,4,0,6.0
,1,4,4,4,2,4,1,124,111.0
,5,4,4,4,3,4,3,0,0.0
,4,4,4,4,5,4,3,7,16.0
,5,3,5,5,3,5,4,0,0.0
,5,4,4,5,5,5,5,0,0.0
,5,1,1,1,4,1,4,0,0.0
,5,4,4,4,3,4,4,0,0.0
,4,5,3,4,5,4,4,0,88.0
,3,4,4,1,3,4,3,27,61.0
,4,4,4,4,3,4,2,0,0.0
,0,5,1,3,5,1,1,0,3.0
,4,2,5,5,5,1,3,0,0.0
,4,4,3,5,4,4,5,30,13.0
,2,2,2,2,2,2,2,5,27.0
,1,4,2,4,2,4,1,93,99.0
,4,4,4,4,3,4,3,0,0.0
,5,5,4,5,4,5,5,0,0.0
,5,1,2,5,3,5,1,0,0.0
,3,2,2,2,3,3,3,0,0.0
,4,3,4,5,4,3,2,0,0.0
,1,2,4,4,2,5,2,0,0.0
,3,3,4,5,5,4,5,0,1.0
,3,5,3,5,5,4,2,112,111.0
,2,5,4,5,3,5,1,12,25.0
,5,1,3,3,4,1,5,40,42.0
,5,4,3,3,4,4,2,3,0.0
,5,3,3,3,4,3,3,0,0.0
,5,4,4,4,4,4,3,94,76.0
,2,4,3,4,4,4,5,0,0.0
,4,4,4,4,5,4,5,0,6.0
